I II III aVR aVL aVF V1 V2 AO SPO2
-0.007 -0.005 -0.005 0.010 -0.005 -0.000 0.005 82.600 81.600 1.133 
-0.015 -0.012 -0.002 0.017 -0.007 -0.005 0.007 82.600 81.200 1.104 
-0.012 -0.020 -0.012 0.020 -0.002 -0.012 0.010 82.600 81.000 1.074 
-0.010 -0.005 -0.000 0.010 -0.007 -0.000 0.002 82.200 80.600 1.045 
-0.002 0.007 0.002 0.002 -0.005 0.010 -0.002 81.800 80.200 1.016 
-0.000 0.020 0.012 -0.005 -0.010 0.020 -0.010 81.400 80.000 0.982 
0.005 0.034 0.024 -0.017 -0.012 0.032 -0.012 81.000 79.800 0.947 
0.007 0.032 0.020 -0.017 -0.007 0.029 -0.015 80.400 79.600 0.913 
0.007 0.024 0.012 -0.012 -0.005 0.022 -0.010 80.000 79.400 0.879 
0.015 0.042 0.020 -0.024 -0.005 0.034 -0.022 79.600 79.200 0.850 
0.010 0.032 0.015 -0.017 -0.005 0.027 -0.015 79.400 79.000 0.821 
0.010 0.010 -0.000 -0.010 0.005 0.005 -0.010 79.200 78.800 0.791 
0.015 0.007 -0.012 -0.007 0.012 -0.000 -0.007 79.000 78.600 0.762 
0.027 0.037 -0.000 -0.027 0.010 0.024 -0.024 79.000 78.400 0.737 
0.020 0.032 0.007 -0.022 0.005 0.022 -0.017 78.800 78.200 0.713 
0.017 0.034 0.005 -0.020 -0.000 0.027 -0.020 78.800 78.000 0.689 
0.017 0.032 0.010 -0.022 0.002 0.024 -0.017 78.600 77.800 0.664 
0.017 0.034 0.010 -0.022 -0.000 0.027 -0.020 78.400 77.600 0.635 
0.017 0.020 -0.000 -0.017 0.007 0.012 -0.012 78.000 77.400 0.606 
0.010 -0.002 -0.015 -0.002 0.012 -0.007 -0.005 77.800 77.000 0.576 
0.007 0.015 0.007 -0.010 -0.000 0.012 -0.007 77.400 76.800 0.547 
0.022 0.039 0.010 -0.027 0.002 0.029 -0.022 77.000 76.400 0.523 
-0.010 0.015 0.020 -0.000 -0.017 0.020 -0.002 76.800 76.200 0.498 
-0.007 0.027 0.029 -0.007 -0.020 0.032 -0.010 76.400 75.800 0.474 
0.005 0.061 0.046 -0.027 -0.024 0.059 -0.022 76.000 75.600 0.449 
0.012 0.056 0.037 -0.029 -0.015 0.051 -0.024 75.800 75.400 0.420 
0.015 0.029 0.012 -0.020 -0.000 0.022 -0.015 75.600 75.200 0.391 
-0.000 -0.015 -0.020 0.010 0.007 -0.015 0.002 75.400 74.800 0.361 
0.022 -0.005 -0.032 -0.005 0.024 -0.015 -0.005 75.200 74.600 0.332 
