I II III aVR aVL aVF V1 AO LV SPO2
-0.032 -0.090 -0.068 0.066 0.015 -0.073 0.037 69.200 27.400 2.144 
-0.034 -0.098 -0.073 0.071 0.015 -0.081 0.032 69.200 29.400 2.120 
-0.022 -0.100 -0.088 0.066 0.029 -0.088 0.044 69.000 32.200 2.095 
-0.022 -0.107 -0.098 0.071 0.032 -0.095 0.044 68.400 35.200 2.071 
-0.017 -0.103 -0.105 0.071 0.034 -0.093 0.046 67.800 39.000 2.066 
-0.017 -0.110 -0.105 0.071 0.039 -0.100 0.049 67.000 43.200 2.061 
-0.010 -0.103 -0.107 0.063 0.042 -0.098 0.054 66.400 47.800 2.056 
-0.002 -0.112 -0.125 0.066 0.054 -0.110 0.054 66.000 52.800 2.051 
-0.027 -0.139 -0.127 0.090 0.044 -0.125 0.056 65.800 58.000 2.042 
-0.007 -0.129 -0.132 0.073 0.059 -0.125 0.056 65.800 63.400 2.032 
0.002 -0.132 -0.142 0.068 0.068 -0.132 0.056 65.800 69.000 2.022 
0.002 -0.134 -0.149 0.073 0.071 -0.134 0.056 65.800 74.600 2.012 
-0.012 -0.144 -0.149 0.088 0.061 -0.137 0.061 65.600 80.400 2.002 
0.002 -0.142 -0.156 0.076 0.073 -0.142 0.054 65.400 86.000 1.993 
0.015 -0.134 -0.156 0.063 0.083 -0.142 0.059 65.200 91.400 1.983 
0.017 -0.137 -0.164 0.066 0.085 -0.144 0.059 65.000 96.800 1.973 
0.007 -0.156 -0.173 0.081 0.085 -0.159 0.059 65.400 101.800 1.958 
0.010 -0.151 -0.173 0.078 0.085 -0.156 0.061 66.200 106.200 1.944 
0.015 -0.147 -0.171 0.071 0.088 -0.154 0.063 67.600 110.200 1.929 
0.015 -0.166 -0.188 0.081 0.098 -0.173 0.061 69.600 113.600 1.915 
0.024 -0.164 -0.198 0.076 0.107 -0.176 0.059 71.800 116.200 1.905 
0.007 -0.171 -0.186 0.085 0.093 -0.173 0.066 74.200 118.200 1.895 
0.027 -0.156 -0.190 0.068 0.105 -0.168 0.068 76.600 119.800 1.885 
0.029 -0.164 -0.198 0.071 0.112 -0.178 0.063 78.600 120.600 1.875 
0.044 -0.159 -0.222 0.068 0.125 -0.181 0.061 80.600 121.200 1.861 
0.051 -0.166 -0.225 0.061 0.134 -0.190 0.061 82.400 121.200 1.846 
