I II III aVL aVF V1 V2 LV AO Resp SPO2
-0.000 0.042 -0.000 0.017 0.024 -0.020 -0.029 -1.800 89.400 -0.164 2.838 
-0.000 0.049 -0.000 0.020 0.027 -0.012 -0.034 -1.800 91.400 -0.159 2.803 
-0.000 0.046 -0.000 0.017 0.027 -0.017 -0.032 -1.800 93.400 -0.156 2.769 
-0.000 0.061 -0.000 0.017 0.039 -0.015 -0.039 -1.800 95.200 -0.151 2.735 
-0.000 0.076 -0.000 0.017 0.049 -0.020 -0.046 -1.800 97.000 -0.149 2.711 
-0.000 0.083 -0.000 0.015 0.056 -0.015 -0.049 -1.800 98.800 -0.147 2.686 
-0.000 0.085 -0.000 0.017 0.056 -0.012 -0.051 -1.800 100.200 -0.144 2.662 
-0.000 0.088 -0.000 0.010 0.061 -0.015 -0.049 -1.800 101.800 -0.142 2.637 
-0.000 0.112 -0.000 0.022 0.073 -0.010 -0.066 -1.800 103.000 -0.142 2.613 
-0.000 0.115 -0.000 0.020 0.078 -0.007 -0.066 -1.800 104.200 -0.139 2.589 
-0.000 0.117 -0.000 0.017 0.081 -0.010 -0.066 -1.800 105.000 -0.139 2.564 
-0.000 0.125 -0.000 0.024 0.083 -0.007 -0.073 -1.800 105.600 -0.137 2.540 
-0.000 0.144 -0.000 0.015 0.103 -0.010 -0.078 -1.800 106.000 -0.137 2.535 
-0.000 0.156 -0.000 0.015 0.110 -0.005 -0.085 -1.800 106.200 -0.137 2.530 
-0.000 0.156 -0.000 0.017 0.110 0.002 -0.085 -1.800 106.200 -0.134 2.525 
-0.000 0.171 -0.000 0.015 0.122 0.002 -0.093 -1.800 106.400 -0.132 2.520 
-0.000 0.183 -0.000 0.012 0.132 0.010 -0.098 -1.800 106.200 -0.132 2.510 
-0.000 0.203 -0.000 0.015 0.147 0.022 -0.107 -1.800 106.200 -0.129 2.501 
-0.000 0.190 -0.000 0.010 0.139 0.029 -0.100 -1.800 106.200 -0.129 2.491 
-0.000 0.186 -0.000 0.007 0.137 0.029 -0.098 -1.800 106.000 -0.127 2.481 
-0.000 0.215 -0.000 0.007 0.159 0.032 -0.112 -1.800 106.000 -0.127 2.471 
-0.000 0.227 -0.000 -0.000 0.171 0.042 -0.115 -1.800 106.000 -0.129 2.462 
-0.000 0.225 -0.000 0.002 0.168 0.044 -0.115 -1.800 105.800 -0.129 2.452 
-0.000 0.217 -0.000 0.005 0.161 0.044 -0.112 -1.800 105.800 -0.132 2.442 
-0.000 0.222 -0.000 0.002 0.166 0.046 -0.115 -1.800 106.000 -0.132 2.432 
-0.000 0.225 -0.000 0.002 0.168 0.054 -0.115 -1.800 106.000 -0.129 2.422 
-0.000 0.200 -0.000 -0.012 0.156 0.049 -0.098 -1.800 106.200 -0.129 2.413 
-0.000 0.205 -0.000 -0.002 0.156 0.054 -0.105 -1.800 106.400 -0.127 2.403 
-0.000 0.200 -0.000 -0.007 0.154 0.059 -0.100 -1.800 106.600 -0.127 2.388 
-0.000 0.188 -0.000 -0.015 0.149 0.066 -0.090 -1.800 106.800 -0.129 2.374 
-0.000 0.164 -0.000 -0.007 0.127 0.063 -0.081 -1.800 107.000 -0.129 2.359 
-0.000 0.149 -0.000 -0.010 0.117 0.059 -0.073 -1.800 107.000 -0.132 2.344 
