I II III aVR aVL aVF V1 LV AO Resp SPO2
-0.044 -0.076 -0.032 0.061 -0.005 -0.054 0.029 96.600 105.800 0.078 2.154 
-0.029 -0.061 -0.037 0.049 0.002 -0.046 0.015 94.000 104.400 0.081 2.129 
-0.037 -0.034 0.002 0.037 -0.020 -0.015 -0.000 91.000 103.400 0.083 2.105 
-0.042 -0.017 0.024 0.029 -0.032 0.005 -0.002 88.000 102.400 0.083 2.081 
-0.037 -0.024 0.015 0.029 -0.024 -0.005 -0.002 84.200 101.600 0.085 2.056 
-0.027 -0.034 -0.007 0.032 -0.010 -0.020 0.005 80.600 100.800 0.088 2.032 
-0.027 -0.034 -0.002 0.029 -0.010 -0.020 0.007 76.000 100.200 0.088 2.007 
-0.027 0.005 0.032 0.012 -0.029 0.020 -0.007 71.600 99.800 0.085 1.983 
-0.002 -0.012 -0.007 0.007 0.005 -0.010 0.005 66.800 99.400 0.085 1.958 
-0.015 -0.000 0.022 0.005 -0.015 0.007 -0.005 62.000 99.000 0.083 1.934 
-0.017 0.012 0.034 -0.000 -0.022 0.022 -0.010 57.400 98.800 0.083 1.915 
-0.012 0.015 0.029 -0.002 -0.020 0.022 -0.007 52.600 98.400 0.083 1.895 
-0.020 0.027 0.056 -0.007 -0.032 0.037 -0.015 48.600 98.000 0.083 1.875 
-0.022 0.027 0.056 -0.005 -0.034 0.039 -0.012 44.400 97.600 0.083 1.856 
-0.010 0.017 0.032 -0.005 -0.017 0.022 -0.010 41.400 97.200 0.083 1.832 
-0.015 0.022 0.044 -0.007 -0.024 0.029 -0.012 38.400 96.800 0.081 1.807 
-0.012 0.022 0.039 -0.007 -0.022 0.029 -0.005 36.400 96.400 0.081 1.783 
-0.002 0.037 0.049 -0.022 -0.020 0.039 -0.017 34.600 95.800 0.078 1.758 
-0.002 0.042 0.042 -0.017 -0.022 0.044 -0.012 33.600 95.400 0.076 1.739 
-0.002 0.027 0.037 -0.015 -0.015 0.029 -0.005 32.600 95.000 0.073 1.719 
-0.010 0.017 0.032 -0.005 -0.017 0.022 0.005 32.200 94.400 0.071 1.700 
0.002 0.032 0.032 -0.017 -0.012 0.032 -0.002 31.600 94.000 0.066 1.680 
-0.005 0.046 0.059 -0.024 -0.027 0.049 -0.005 31.000 93.400 0.066 1.656 
-0.005 0.037 0.044 -0.017 -0.022 0.039 0.002 30.400 92.800 0.066 1.631 
-0.010 0.027 0.044 -0.012 -0.022 0.032 0.015 29.200 92.400 0.066 1.607 
-0.005 0.020 0.027 -0.007 -0.015 0.022 0.015 28.200 91.800 0.066 1.582 
-0.015 0.032 0.044 -0.007 -0.029 0.039 0.012 26.600 91.200 0.066 1.553 
-0.015 0.022 0.039 -0.005 -0.024 0.029 0.015 25.000 90.600 0.063 1.524 
0.005 0.020 0.017 -0.012 -0.005 0.017 0.022 23.200 90.000 0.063 1.495 
-0.002 0.012 0.015 -0.005 -0.007 0.015 0.022 21.200 89.400 0.063 1.465 
-0.010 0.059 0.071 -0.024 -0.039 0.063 0.007 19.200 88.800 0.061 1.421 
-0.007 0.029 0.046 -0.015 -0.022 0.034 0.007 17.400 88.400 0.061 1.377 
-0.005 0.046 0.059 -0.024 -0.027 0.049 0.010 15.600 87.800 0.059 1.333 
-0.012 0.059 0.073 -0.024 -0.042 0.066 0.005 14.000 87.400 0.059 1.289 
-0.002 0.051 0.063 -0.029 -0.027 0.054 -0.000 12.800 87.000 0.056 1.270 
0.012 0.044 0.042 -0.032 -0.010 0.039 -0.000 11.800 86.400 0.056 1.250 
-0.015 0.049 0.076 -0.022 -0.039 0.056 0.010 11.200 86.000 0.056 1.231 
-0.022 0.017 0.046 -0.000 -0.029 0.029 0.024 10.800 85.400 0.054 1.211 
-0.000 0.042 0.044 -0.022 -0.020 0.042 0.002 10.600 84.800 0.054 1.192 
0.005 0.059 0.061 -0.034 -0.024 0.056 -0.000 10.400 84.400 0.054 1.172 
-0.007 0.020 0.027 -0.005 -0.017 0.024 0.005 10.400 83.800 0.051 1.153 
-0.005 0.037 0.046 -0.017 -0.022 0.039 -0.005 10.600 83.400 0.051 1.133 
0.007 0.068 0.076 -0.044 -0.027 0.066 -0.010 10.800 82.800 0.046 1.109 
0.002 0.063 0.068 -0.037 -0.029 0.063 -0.012 11.000 82.400 0.042 1.084 
0.002 0.034 0.042 -0.022 -0.015 0.034 -0.005 11.200 82.000 0.037 1.060 
0.007 0.029 0.024 -0.020 -0.007 0.027 0.002 11.400 81.600 0.032 1.035 
0.005 0.042 0.039 -0.024 -0.015 0.039 -0.000 11.600 81.400 0.029 1.001 
-0.000 0.046 0.051 -0.024 -0.022 0.046 -0.012 11.800 81.000 0.029 0.967 
0.010 0.039 0.037 -0.027 -0.010 0.034 -0.015 12.000 80.600 0.027 0.933 
0.027 0.044 0.024 -0.039 0.005 0.032 -0.012 12.200 80.000 0.024 0.899 
0.005 0.049 0.046 -0.027 -0.020 0.046 -0.007 12.400 79.800 0.020 0.869 
0.002 0.056 0.061 -0.032 -0.024 0.056 -0.010 12.600 79.400 0.017 0.840 
0.017 0.054 0.044 -0.039 -0.010 0.046 -0.015 12.600 79.000 0.012 0.811 
0.029 0.056 0.029 -0.044 0.002 0.042 -0.022 12.600 78.600 0.007 0.781 
-0.000 0.029 0.029 -0.015 -0.015 0.029 -0.007 12.600 78.400 0.005 0.757 
0.007 0.027 0.027 -0.020 -0.005 0.024 -0.012 12.600 78.200 0.002 0.733 
0.020 0.046 0.034 -0.037 -0.002 0.037 -0.017 12.600 77.800 -0.000 0.708 
0.015 0.046 0.029 -0.029 -0.007 0.039 -0.022 12.800 77.600 -0.002 0.684 
0.007 0.022 0.015 -0.015 -0.002 0.020 -0.017 12.800 77.400 -0.005 0.684 
0.010 0.012 0.002 -0.010 0.005 0.007 -0.012 12.800 77.000 -0.007 0.684 
