I II III aVR aVL aVF V1 V2 AO SPO2 
0.046 -0.220 -0.237 0.073 0.156 -0.242 -0.098 0.056 62.400 3.165 
0.037 -0.188 -0.210 0.068 0.132 -0.205 -0.063 0.049 62.200 3.155 
0.022 -0.159 -0.159 0.059 0.103 -0.168 -0.066 0.044 62.200 3.145 
0.017 -0.105 -0.100 0.034 0.071 -0.112 -0.076 0.027 62.000 3.140 
0.027 -0.059 -0.063 0.005 0.056 -0.071 -0.068 0.007 62.000 3.136 
0.027 -0.044 -0.054 -0.000 0.049 -0.056 -0.059 0.002 61.800 3.131 
0.022 -0.017 -0.015 -0.015 0.032 -0.027 -0.049 -0.005 61.800 3.126 
-0.002 -0.000 0.022 -0.007 -0.002 0.002 -0.027 -0.002 61.800 3.111 
-0.002 0.002 0.029 -0.012 -0.002 0.005 -0.005 -0.002 61.600 3.096 
-0.020 -0.007 0.032 0.005 -0.015 0.002 0.007 0.007 61.600 3.082 
-0.024 -0.017 0.027 0.012 -0.015 -0.005 0.007 0.012 61.600 3.067 
-0.029 -0.000 0.044 0.007 -0.029 0.015 0.005 0.007 61.800 3.057 
-0.029 -0.002 0.046 0.007 -0.027 0.012 0.002 0.007 62.000 3.048 
-0.029 0.007 0.051 0.005 -0.032 0.022 0.010 0.005 62.800 3.038 
-0.034 0.005 0.054 0.007 -0.037 0.022 0.005 0.007 63.400 3.028 
-0.024 0.015 0.061 -0.005 -0.032 0.027 -0.002 -0.000 64.800 3.009 
-0.017 0.020 0.056 -0.010 -0.027 0.029 -0.002 -0.002 66.200 2.989 
-0.029 0.017 0.066 -0.002 -0.037 0.032 0.002 0.002 68.200 2.969 
-0.039 0.024 0.085 -0.002 -0.051 0.044 0.007 0.002 70.000 2.950 
-0.032 0.039 0.090 -0.012 -0.051 0.056 -0.000 -0.005 72.200 2.930 
-0.017 0.042 0.078 -0.022 -0.037 0.051 0.007 -0.010 74.400 2.911 
-0.024 0.044 0.083 -0.017 -0.046 0.056 0.010 -0.010 76.800 2.891 
-0.034 0.039 0.093 -0.012 -0.054 0.056 0.010 -0.005 79.000 2.872 
-0.034 0.042 0.095 -0.012 -0.054 0.059 0.015 -0.005 81.000 2.852 
-0.037 0.042 0.098 -0.012 -0.056 0.061 0.022 -0.005 83.200 2.833 
-0.027 0.061 0.105 -0.024 -0.056 0.076 0.024 -0.015 85.200 2.813 
-0.027 0.066 0.112 -0.029 -0.059 0.081 0.024 -0.015 87.000 2.794 
-0.024 0.076 0.115 -0.032 -0.061 0.088 0.034 -0.020 88.800 2.769 
-0.034 0.081 0.127 -0.029 -0.073 0.098 0.039 -0.017 90.400 2.745 
-0.044 0.083 0.144 -0.027 -0.085 0.105 0.049 -0.015 92.000 2.720 
-0.054 0.088 0.156 -0.024 -0.098 0.115 0.056 -0.015 93.600 2.696 
-0.054 0.085 0.164 -0.027 -0.095 0.112 0.068 -0.012 94.800 2.652 
-0.054 0.098 0.168 -0.029 -0.103 0.125 0.083 -0.017 96.000 2.608 
-0.071 0.090 0.178 -0.017 -0.115 0.127 0.095 -0.010 96.800 2.564 
-0.063 0.100 0.190 -0.032 -0.112 0.132 0.112 -0.015 97.800 2.520 
-0.063 0.107 0.198 -0.034 -0.117 0.139 0.129 -0.017 98.600 2.496 
-0.073 0.110 0.203 -0.027 -0.127 0.147 0.144 -0.015 99.200 2.471 
-0.083 0.103 0.208 -0.020 -0.134 0.144 0.168 -0.010 99.800 2.447 
-0.085 0.110 0.215 -0.022 -0.139 0.154 0.186 -0.010 100.400 2.422 
-0.095 0.110 0.230 -0.020 -0.149 0.159 0.198 -0.007 100.800 2.398 
-0.110 0.112 0.239 -0.010 -0.166 0.168 0.215 -0.002 101.400 2.374 
-0.110 0.120 0.249 -0.015 -0.168 0.176 0.225 -0.005 101.800 2.349 
-0.110 0.122 0.254 -0.017 -0.171 0.178 0.232 -0.007 102.400 2.325 
