I II III aVR aVL aVF V1 AO Resp SPO2
-0.203 -0.063 0.134 0.137 -0.171 0.039 0.784 72.000 0.037 3.751 
-0.181 -0.066 0.105 0.129 -0.147 0.024 0.657 71.800 0.034 3.751 
-0.161 -0.068 0.078 0.122 -0.127 0.012 0.464 71.400 0.032 3.722 
-0.149 -0.059 0.083 0.107 -0.120 0.017 0.300 71.200 0.032 3.692 
-0.098 -0.037 0.051 0.073 -0.078 0.012 0.164 71.000 0.029 3.663 
-0.061 -0.042 0.010 0.056 -0.039 -0.010 0.112 70.600 0.027 3.634 
-0.024 -0.020 -0.005 0.027 -0.015 -0.007 0.061 70.200 0.027 3.580 
-0.015 -0.015 -0.005 0.017 -0.007 -0.007 0.039 70.000 0.024 3.526 
-0.010 -0.020 -0.020 0.020 -0.000 -0.015 0.032 69.800 0.024 3.473 
-0.005 -0.002 -0.010 0.010 -0.002 -0.000 0.010 69.800 0.022 3.419 
-0.015 0.005 0.007 0.012 -0.017 0.012 -0.000 69.800 0.020 3.346 
-0.010 0.005 0.010 0.005 -0.012 0.010 -0.010 70.000 0.020 3.272 
-0.010 -0.005 -0.000 0.010 -0.007 -0.000 -0.012 70.400 0.017 3.199 
-0.012 -0.002 0.002 0.012 -0.010 0.005 -0.022 71.000 0.015 3.126 
-0.007 -0.010 -0.010 0.012 -0.002 -0.005 -0.024 71.400 0.015 3.043 
-0.002 -0.012 -0.017 0.012 0.005 -0.010 -0.029 72.000 0.012 2.960 
0.002 -0.020 -0.027 0.012 0.012 -0.020 -0.032 72.600 0.012 2.877 
-0.010 -0.022 -0.020 0.020 0.002 -0.017 -0.034 73.000 0.010 2.794 
-0.012 -0.022 -0.017 0.022 -0.000 -0.015 -0.037 73.600 0.010 2.701 
-0.007 -0.034 -0.034 0.024 0.010 -0.029 -0.027 74.200 0.010 2.608 
-0.017 -0.039 -0.027 0.032 0.002 -0.029 -0.029 75.000 0.007 2.515 
-0.007 -0.044 -0.046 0.032 0.015 -0.039 -0.039 75.800 0.007 2.422 
-0.010 -0.051 -0.056 0.039 0.017 -0.046 -0.032 76.600 0.007 2.339 
-0.010 -0.051 -0.049 0.034 0.017 -0.046 -0.037 77.600 0.007 2.256 
-0.020 -0.076 -0.059 0.049 0.020 -0.066 -0.032 78.400 0.007 2.173 
-0.024 -0.088 -0.071 0.061 0.020 -0.076 -0.034 79.400 0.005 2.090 
-0.032 -0.095 -0.063 0.063 0.017 -0.078 -0.029 80.000 0.005 2.027 
-0.039 -0.115 -0.083 0.081 0.020 -0.095 -0.032 80.600 0.005 1.963 
-0.037 -0.122 -0.085 0.081 0.024 -0.103 -0.027 81.200 0.005 1.900 
-0.046 -0.142 -0.103 0.098 0.024 -0.117 -0.022 81.600 0.005 1.836 
-0.051 -0.166 -0.125 0.115 0.032 -0.139 -0.024 82.200 0.005 1.812 
-0.063 -0.186 -0.134 0.132 0.029 -0.154 -0.017 82.800 0.005 1.788 
-0.071 -0.217 -0.156 0.149 0.039 -0.181 -0.012 83.400 0.005 1.763 
-0.068 -0.225 -0.168 0.154 0.044 -0.190 -0.020 84.000 0.005 1.739 
-0.073 -0.234 -0.168 0.159 0.044 -0.198 -0.015 84.800 0.005 1.778 
-0.078 -0.252 -0.178 0.168 0.049 -0.212 -0.020 85.400 0.005 1.817 
-0.085 -0.249 -0.171 0.171 0.039 -0.205 -0.015 86.200 0.005 1.856 
-0.105 -0.278 -0.183 0.198 0.034 -0.225 -0.020 86.800 0.007 1.895 
-0.088 -0.283 -0.210 0.193 0.054 -0.239 -0.015 87.400 0.007 1.934 
-0.071 -0.298 -0.239 0.190 0.078 -0.261 -0.024 88.200 0.007 1.973 
-0.095 -0.293 -0.210 0.200 0.051 -0.244 -0.024 88.800 0.007 2.012 
-0.061 -0.264 -0.217 0.171 0.071 -0.232 -0.032 89.400 0.007 2.051 
-0.049 -0.244 -0.210 0.154 0.073 -0.220 -0.037 90.000 0.007 2.090 
-0.042 -0.225 -0.193 0.139 0.071 -0.203 -0.049 90.600 0.010 2.129 
