I II III aVR aVL aVF V1 V2 LV AO Resp SPO2
0.039 -0.037 -0.093 0.007 0.059 -0.056 0.068 -0.002 94.200 85.600 0.371 2.501 
0.039 -0.020 -0.083 0.002 0.049 -0.039 0.076 -0.010 94.200 85.800 0.374 2.481 
0.037 -0.010 -0.068 -0.002 0.042 -0.027 0.081 -0.012 94.000 85.800 0.374 2.471 
0.024 -0.015 -0.061 0.007 0.032 -0.027 0.081 -0.005 93.800 85.800 0.374 2.462 
0.015 -0.020 -0.059 0.015 0.024 -0.027 0.078 -0.000 93.400 85.800 0.374 2.452 
0.017 -0.010 -0.051 0.010 0.022 -0.017 0.076 -0.005 92.800 85.800 0.374 2.442 
0.007 -0.002 -0.037 0.012 0.010 -0.005 0.066 -0.005 92.400 85.400 0.374 2.432 
-0.005 -0.005 -0.024 0.017 -0.002 -0.002 0.056 -0.000 91.600 85.200 0.374 2.422 
-0.012 -0.020 -0.027 0.027 -0.002 -0.012 0.054 0.007 91.000 84.800 0.371 2.413 
-0.000 0.002 -0.015 0.007 -0.000 0.002 0.039 -0.002 90.000 84.200 0.369 2.403 
-0.010 0.005 -0.010 0.015 -0.012 0.010 0.024 -0.000 89.200 83.600 0.369 2.398 
-0.024 -0.010 -0.002 0.027 -0.020 0.002 0.012 0.010 88.200 82.800 0.369 2.393 
-0.024 -0.005 -0.002 0.027 -0.022 0.007 0.005 0.007 87.000 82.000 0.369 2.388 
-0.020 0.007 -0.000 0.020 -0.022 0.017 -0.002 0.002 85.800 81.400 0.369 2.383 
-0.017 0.017 0.007 0.015 -0.024 0.027 -0.012 -0.002 84.600 80.600 0.366 2.369 
-0.022 0.005 0.002 0.022 -0.024 0.017 -0.015 0.002 83.000 79.800 0.364 2.354 
-0.022 0.002 0.007 0.020 -0.022 0.015 -0.007 0.005 81.400 79.400 0.361 2.339 
-0.017 0.022 0.012 0.012 -0.027 0.032 -0.002 -0.005 79.600 78.800 0.359 2.325 
-0.017 0.027 0.017 0.010 -0.029 0.037 -0.002 -0.005 77.600 78.400 0.359 2.315 
